,Run,DatasetSize,Distribution,Parameter,#threads,SearchAlgorithm,RecordSizeBytes,TimeNS
105,1,100000,uniform,42,1,isseq,8,74.7
106,1,100000,uniform,42,1,isseq,8,74.1
107,1,100000,uniform,42,1,isseq,8,75.5
108,1,100000,uniform,42,1,isseq,8,76.3
109,1,100000,uniform,42,1,isseq,8,76.5
110,1,100000,uniform,42,1,isseq,8,75.2
111,1,100000,uniform,42,1,isseq,8,74.6
112,1,100000,uniform,42,1,isseq,8,74.7
113,1,100000,uniform,42,1,isseq,8,75.2
114,1,100000,uniform,42,1,isseq,8,75.9
115,1,100000,uniform,42,1,isseq,8,78.8
116,1,100000,uniform,42,1,isseq,8,74.0
117,1,100000,uniform,42,1,isseq,8,74.0
118,1,100000,uniform,42,1,isseq,8,75.0
119,1,100000,uniform,42,1,isseq,8,74.0
120,1,100000,uniform,42,1,isseq,8,75.1
121,1,100000,uniform,42,1,isseq,8,73.7
122,1,100000,uniform,42,1,isseq,8,74.9
123,1,100000,uniform,42,1,isseq,8,75.2
124,1,100000,uniform,42,1,isseq,8,74.6
125,1,100000,uniform,42,1,isseq,8,73.7
126,1,100000,uniform,42,1,isseq,8,74.2
127,1,100000,uniform,42,1,isseq,8,73.8
128,1,100000,uniform,42,1,isseq,8,76.6
129,1,100000,uniform,42,1,isseq,8,86.0
130,1,100000,uniform,42,1,isseq,8,75.2
131,1,100000,uniform,42,1,isseq,8,74.9
132,1,100000,uniform,42,1,isseq,8,75.0
133,1,100000,uniform,42,1,isseq,8,74.2
134,1,100000,uniform,42,1,isseq,8,73.5
135,1,100000,uniform,42,1,isseq,8,74.6
136,1,100000,uniform,42,1,isseq,8,74.2
137,1,100000,uniform,42,1,isseq,8,74.0
138,1,100000,uniform,42,1,isseq,8,74.9
139,1,100000,uniform,42,1,isseq,8,73.8
140,1,100000,uniform,42,1,isseq,8,73.8
141,1,100000,uniform,42,1,isseq,8,75.6
142,1,100000,uniform,42,1,isseq,8,77.6
143,1,100000,uniform,42,1,isseq,8,75.3
144,1,100000,uniform,42,1,isseq,8,77.1
145,1,100000,uniform,42,1,isseq,8,77.9
146,1,100000,uniform,42,1,isseq,8,74.0
147,1,100000,uniform,42,1,isseq,8,74.6
148,1,100000,uniform,42,1,isseq,8,74.4
149,1,100000,uniform,42,1,isseq,8,75.1
150,1,100000,uniform,42,1,isseq,8,75.0
151,1,100000,uniform,42,1,isseq,8,73.7
152,1,100000,uniform,42,1,isseq,8,75.0
153,1,100000,uniform,42,1,isseq,8,74.7
154,1,100000,uniform,42,1,isseq,8,73.9
155,1,100000,uniform,42,1,isseq,8,90.1
156,1,100000,uniform,42,1,isseq,8,78.3
157,1,100000,uniform,42,1,isseq,8,75.4
158,1,100000,uniform,42,1,isseq,8,74.2
159,1,100000,uniform,42,1,isseq,8,74.3
160,1,100000,uniform,42,1,isseq,8,73.8
161,1,100000,uniform,42,1,isseq,8,75.4
162,1,100000,uniform,42,1,isseq,8,73.7
163,1,100000,uniform,42,1,isseq,8,75.0
164,1,100000,uniform,42,1,isseq,8,74.3
165,1,100000,uniform,42,1,isseq,8,76.1
166,1,100000,uniform,42,1,isseq,8,75.0
167,1,100000,uniform,42,1,isseq,8,75.4
168,1,100000,uniform,42,1,isseq,8,77.4
169,1,100000,uniform,42,1,isseq,8,74.2
170,1,100000,uniform,42,1,isseq,8,74.7
171,1,100000,uniform,42,1,isseq,8,73.7
172,1,100000,uniform,42,1,isseq,8,74.7
173,1,100000,uniform,42,1,isseq,8,75.4
174,1,100000,uniform,42,1,isseq,8,74.9
175,1,100000,uniform,42,1,isseq,8,75.3
176,1,100000,uniform,42,1,isseq,8,74.4
177,1,100000,uniform,42,1,isseq,8,75.4
178,1,100000,uniform,42,1,isseq,8,74.2
179,1,100000,uniform,42,1,isseq,8,74.4
180,1,100000,uniform,42,1,isseq,8,74.4
181,1,100000,uniform,42,1,isseq,8,100.2
182,1,100000,uniform,42,1,isseq,8,88.3
183,1,100000,uniform,42,1,isseq,8,87.4
184,1,100000,uniform,42,1,isseq,8,92.1
185,1,100000,uniform,42,1,isseq,8,88.0
186,1,100000,uniform,42,1,isseq,8,91.1
187,1,100000,uniform,42,1,isseq,8,89.2
188,1,100000,uniform,42,1,isseq,8,86.8
189,1,100000,uniform,42,1,isseq,8,85.1
190,1,100000,uniform,42,1,isseq,8,76.0
191,1,100000,uniform,42,1,isseq,8,75.6
192,1,100000,uniform,42,1,isseq,8,77.8
193,1,100000,uniform,42,1,isseq,8,76.1
194,1,100000,uniform,42,1,isseq,8,75.5
195,1,100000,uniform,42,1,isseq,8,76.7
196,1,100000,uniform,42,1,isseq,8,74.2
197,1,100000,uniform,42,1,isseq,8,76.0
198,1,100000,uniform,42,1,isseq,8,74.6
199,1,100000,uniform,42,1,isseq,8,75.3
200,2,100000,uniform,42,1,sip,8,60.1
201,2,100000,uniform,42,1,sip,8,64.8
202,2,100000,uniform,42,1,sip,8,61.1
203,2,100000,uniform,42,1,sip,8,54.7
204,2,100000,uniform,42,1,sip,8,54.7
205,2,100000,uniform,42,1,sip,8,53.5
206,2,100000,uniform,42,1,sip,8,54.9
207,2,100000,uniform,42,1,sip,8,53.8
208,2,100000,uniform,42,1,sip,8,54.4
209,2,100000,uniform,42,1,sip,8,54.0
210,2,100000,uniform,42,1,sip,8,53.4
211,2,100000,uniform,42,1,sip,8,54.4
212,2,100000,uniform,42,1,sip,8,53.8
213,2,100000,uniform,42,1,sip,8,54.2
214,2,100000,uniform,42,1,sip,8,54.7
215,2,100000,uniform,42,1,sip,8,53.6
216,2,100000,uniform,42,1,sip,8,54.1
217,2,100000,uniform,42,1,sip,8,54.0
218,2,100000,uniform,42,1,sip,8,53.8
219,2,100000,uniform,42,1,sip,8,57.7
220,2,100000,uniform,42,1,sip,8,53.4
221,2,100000,uniform,42,1,sip,8,53.1
222,2,100000,uniform,42,1,sip,8,54.0
223,2,100000,uniform,42,1,sip,8,53.6
224,2,100000,uniform,42,1,sip,8,53.7
225,2,100000,uniform,42,1,sip,8,53.4
226,2,100000,uniform,42,1,sip,8,54.4
227,2,100000,uniform,42,1,sip,8,54.1
228,2,100000,uniform,42,1,sip,8,54.0
229,2,100000,uniform,42,1,sip,8,53.8
230,2,100000,uniform,42,1,sip,8,53.3
231,2,100000,uniform,42,1,sip,8,54.3
232,2,100000,uniform,42,1,sip,8,53.4
233,2,100000,uniform,42,1,sip,8,53.8
234,2,100000,uniform,42,1,sip,8,53.3
235,2,100000,uniform,42,1,sip,8,53.6
236,2,100000,uniform,42,1,sip,8,52.8
237,2,100000,uniform,42,1,sip,8,58.0
238,2,100000,uniform,42,1,sip,8,58.0
239,2,100000,uniform,42,1,sip,8,54.1
240,2,100000,uniform,42,1,sip,8,53.6
241,2,100000,uniform,42,1,sip,8,53.6
242,2,100000,uniform,42,1,sip,8,53.6
243,2,100000,uniform,42,1,sip,8,55.0
244,2,100000,uniform,42,1,sip,8,53.2
245,2,100000,uniform,42,1,sip,8,53.9
246,2,100000,uniform,42,1,sip,8,54.3
247,2,100000,uniform,42,1,sip,8,53.9
